Region,Division,State,County,Population,Combined Key
3,6,Alabama,Autauga,59095,"Autauga, Alabama, US"
3,6,Alabama,Baldwin,239294,"Baldwin, Alabama, US"
3,6,Alabama,Barbour,24964,"Barbour, Alabama, US"
3,6,Alabama,Bibb,22477,"Bibb, Alabama, US"
3,6,Alabama,Blount,59041,"Blount, Alabama, US"
3,6,Alabama,Bullock,10320,"Bullock, Alabama, US"
3,6,Alabama,Butler,18884,"Butler, Alabama, US"
3,6,Alabama,Calhoun,115972,"Calhoun, Alabama, US"
3,6,Alabama,Chambers,34541,"Chambers, Alabama, US"
3,6,Alabama,Cherokee,24996,"Cherokee, Alabama, US"
3,6,Alabama,Chilton,45274,"Chilton, Alabama, US"
3,6,Alabama,Choctaw,12533,"Choctaw, Alabama, US"
3,6,Alabama,Clarke,22760,"Clarke, Alabama, US"
3,6,Alabama,Clay,14190,"Clay, Alabama, US"
3,6,Alabama,Cleburne,15103,"Cleburne, Alabama, US"
3,6,Alabama,Coffee,54174,"Coffee, Alabama, US"
3,6,Alabama,Colbert,57474,"Colbert, Alabama, US"
3,6,Alabama,Conecuh,11328,"Conecuh, Alabama, US"
3,6,Alabama,Coosa,10450,"Coosa, Alabama, US"
3,6,Alabama,Covington,37524,"Covington, Alabama, US"
3,6,Alabama,Crenshaw,13083,"Crenshaw, Alabama, US"
3,6,Alabama,Cullman,89496,"Cullman, Alabama, US"
3,6,Alabama,Dale,49342,"Dale, Alabama, US"
3,6,Alabama,Dallas,37619,"Dallas, Alabama, US"
3,6,Alabama,DeKalb,71813,"DeKalb, Alabama, US"
3,6,Alabama,Elmore,89304,"Elmore, Alabama, US"
3,6,Alabama,Escambia,36699,"Escambia, Alabama, US"
3,6,Alabama,Etowah,103162,"Etowah, Alabama, US"
3,6,Alabama,Fayette,16148,"Fayette, Alabama, US"
3,6,Alabama,Franklin,32013,"Franklin, Alabama, US"
3,6,Alabama,Geneva,26701,"Geneva, Alabama, US"
3,6,Alabama,Greene,7629,"Greene, Alabama, US"
3,6,Alabama,Hale,14754,"Hale, Alabama, US"
3,6,Alabama,Henry,17459,"Henry, Alabama, US"
3,6,Alabama,Houston,107458,"Houston, Alabama, US"
3,6,Alabama,Jackson,52773,"Jackson, Alabama, US"
3,6,Alabama,Jefferson,667820,"Jefferson, Alabama, US"
3,6,Alabama,Lamar,13689,"Lamar, Alabama, US"
3,6,Alabama,Lauderdale,94043,"Lauderdale, Alabama, US"
3,6,Alabama,Lawrence,33090,"Lawrence, Alabama, US"
3,6,Alabama,Lee,177218,"Lee, Alabama, US"
3,6,Alabama,Limestone,107517,"Limestone, Alabama, US"
3,6,Alabama,Lowndes,9965,"Lowndes, Alabama, US"
3,6,Alabama,Macon,18895,"Macon, Alabama, US"
3,6,Alabama,Madison,395211,"Madison, Alabama, US"
3,6,Alabama,Marengo,18996,"Marengo, Alabama, US"
3,6,Alabama,Marion,29246,"Marion, Alabama, US"
3,6,Alabama,Marshall,98228,"Marshall, Alabama, US"
3,6,Alabama,Mobile,413073,"Mobile, Alabama, US"
3,6,Alabama,Monroe,19648,"Monroe, Alabama, US"
3,6,Alabama,Montgomery,227434,"Montgomery, Alabama, US"
3,6,Alabama,Morgan,123668,"Morgan, Alabama, US"
3,6,Alabama,Perry,8355,"Perry, Alabama, US"
3,6,Alabama,Pickens,18801,"Pickens, Alabama, US"
3,6,Alabama,Pike,32991,"Pike, Alabama, US"
