Region,Population
Albania,2854710
Andorra,79034
Austria,8922082
Belgium,11611420
Bosnia and Herzegovina,3270943
Bulgaria,6885868
Belarus,9578168
Croatia,4060136
Czechia,10510751
Denmark,5854241
Estonia,1328701
Finland,5535992
France,64531444
Germany,83408555
Greece,10445365
Hungary,9709786
Iceland,370335
Ireland,4986526
Italy,59240330
Kosovo,1662010
Latvia,1873919
Liechtenstein,39040
Lithuania,2786651
Luxembourg,639321
Malta,526748
Monaco,36686
Moldova,3061507
Montenegro,627859
Netherlands,17501696
Norway,5403021
Poland,38307726
Portugal,10290103
Romania,19328560
Russia,145102755
San Marino,33746
Serbia,7296769
Slovakia,5447622
Slovenia,2119410
Spain,47486935
Sweden,10467097
Switzerland,8691407
Ukraine,43531422
North Macedonia,2103330
United Kingdom,67281040
