Region,Population
Newfoundland and Labrador,510550
Prince Edward Island,142907
Nova Scotia,969383
New Brunswick,775610
Quebec,8501833
Ontario,14223942
Manitoba,1342153
Saskatchewan,1132505
Alberta,4262635
British Columbia,5000879
Yukon,40232
Northwest Territories,41070
Nunavut,36858
Alabama,5039877
Alaska,732673
Arizona,7276316
Arkansas,3025891
California,39237836
Colorado,5812069
Connecticut,3605597
Delaware,1003384
District of Columbia,670050
Florida,21781128
Georgia,10799566
Hawaii,1441553
Idaho,1900923
Illinois,12671469
Indiana,6805985
Iowa,3193079
Kansas,2934582
Kentucky,4509394
Louisiana,4624047
Maine,1372247
Maryland,6165129
Massachusetts,6984723
Michigan,10050811
Minnesota,5707390
Mississippi,2949965
Missouri,6168187
Montana,1104271
Nebraska,1963692
Nevada,3143991
New Hampshire,1388992
New Jersey,9267130
New Mexico,2115877
New York,19835913
North Carolina,10551162
North Dakota,774948
Ohio,11780017
Oklahoma,3986639
Oregon,4246155
Pennsylvania,12964056
Rhode Island,1095610
South Carolina,5190705
South Dakota,895376
Tennessee,6975218
Texas,29527941
Utah,3337975
Vermont,645570
Virginia,8642274
Washington,7738692
West Virginia,1782959
Wisconsin,5895908
Wyoming,578803
Puerto Rico,3263584
Mexico,16992418
Ciudad de Mexico,9209944
Jalisco,8348151
Veracruz,8062579
Puebla,6583278
Guanajuato,6166934
Nuevo Leon,5784442
Chiapas,5543828
Michoacan,4748846
Oaxaca,4132148
Baja California,3769020
Chihuahua,3741869
Guerrero,3540685
Tamaulipas,3527735
Coahuila de Zaragoza,3146771
Hidalgo,3082841
Sinaloa,3026943
Sonora,2944840
San Luis Potosi,2822255
Tabasco,2402598
Queretaro de Arteaga,2368467
Yucatan,2320898
Morelos,1971520
Quintana Roo,1857985
Durango,1832650
Zacatecas,1622138
Aguascalientes,1425607
Tlaxcala,1342977
Nayarit,1235456
Campeche,928363
Baja California Sur,798447
Colima,731391
